sample_id,peak_id,energy,energy_sigma,area,FWHM
Ag111_12_12_2024_R39,Peak 0,-0.00864604,0.0026334,16.793,0.0327653
Ag111_12_12_2024_R39,Peak 1,0.0616912,0.00327771,54.9296,0.0342298
Ag111_12_12_2024_R39,Peak 2,0.0986671,0.00501977,144.383,0.0575902
Ag111_12_12_2024_R39,Peak 3,0.163266,0.0127224,151.447,0.0903119
Ag111_12_12_2024_R39,Peak 4,0.240305,0.500207,30.2676,0.144485
Ag111_12_12_2024_R39,Peak 5,0.395133,0.00710356,24.1527,0.0608335
Ag111_12_12_2024_R40,Peak 0,0.0669959,0.0202732,48.1783,0.0379813
Ag111_12_12_2024_R40,Peak 1,0.104981,0.0196738,97.755,0.051422
Ag111_12_12_2024_R40,Peak 2,0.168798,0.0239119,110.977,0.0798459
Ag111_12_12_2024_R40,Peak 3,0.276997,0.0521572,1.18894,0.019406
Ag111_12_12_2024_R40,Peak 4,0.391475,0.0174926,10.2168,0.0398281
Ag111_17_12_2024_R3,Peak 0,-0.00675112,0.00023709,11.1843,0.0150373
Ag111_17_12_2024_R3,Peak 1,0.0479041,0.000939586,16.5766,0.0195338
Ag111_17_12_2024_R3,Peak 2,0.0686995,0.00201088,27.0914,0.0321615
Ag111_17_12_2024_R3,Peak 3,0.105236,0.0046902,23.2769,0.0374693
Ag111_17_12_2024_R3,Peak 4,0.138822,0.0265279,1.64848,0.00914068
Ag111_17_12_2024_R3,Peak 5,0.156942,0.00538109,41.1622,0.0964371
Ag111_17_12_2024_R3,Peak 6,0.391634,0.0040417,3.33819,0.0419585
Ag111_17_12_2024_R3,Peak 7,0.472056,0.023342,3.49207,0.107869
PTCDI_17_12_2024_R1,Peak 0,-0.0747151,0,0.155555,0.00728897
PTCDI_17_12_2024_R1,Peak 1,-0.0100756,0,0.00565003,0.000261175
PTCDI_17_12_2024_R1,Peak 2,0.0111361,0.0241455,5.84174,0.0187796
PTCDI_17_12_2024_R1,Peak 3,0.0229645,13.1289,-12.4306,0.00636605
PTCDI_17_12_2024_R1,Peak 4,0.0573922,0.00115192,4.33153,0.0242006
PTCDI_17_12_2024_R1,Peak 5,0.105007,0.000929188,15.8103,0.0482606
PTCDI_17_12_2024_R1,Peak 6,0.152373,0.00194808,3.9143,0.0231034
PTCDI_17_12_2024_R1,Peak 7,0.18019,0.00196258,4.49551,0.0236307
PTCDI_17_12_2024_R1,Peak 8,0.205204,0.00752081,8.52677,0.0437169
PTCDI_17_12_2024_R1,Peak 9,0.399041,0.00126507,9.67102,0.0541125
PTCDI_17_12_2024_R1,Peak 10,0.578314,0.0114817,2.93869,0.0996921
PTCDI_17_12_2024_R1,Peak 11,0.849789,0.0269541,6.83774,0.298136
PTCDI_17_12_2024_R6,Peak 0,0.00797663,0,0.669256,0.00690382
PTCDI_17_12_2024_R6,Peak 1,0.0592394,0,5.41688,0.0275978
PTCDI_17_12_2024_R6,Peak 2,0.106197,0.00523957,15.3996,0.0508331
PTCDI_17_12_2024_R6,Peak 3,0.172296,0.0283889,10.0906,0.0518853
PTCDI_17_12_2024_R6,Peak 4,0.216656,0.0366651,6.66979,0.0472319
PTCDI_17_12_2024_R6,Peak 5,0.400205,0.00747943,4.20988,0.0470437
PTCDI_17_12_2024_R6,Peak 6,0.360596,0.104152,8.60797,0.246615
PTCDI_17_12_2024_R6,Peak 7,0.574774,0.0470911,1.33133,0.072448
PTCDI_17_12_2024_R6,Peak 8,0.858766,0.0918472,7.72454,0.324334
IPRPTCDI_19_12_2024_R1,Peak 0,0.120843,0,3.68047,0.0255628
IPRPTCDI_19_12_2024_R1,Peak 1,0.18141,0,34.2651,0.0651728
IPRPTCDI_19_12_2024_R1,Peak 2,0.230424,0.0129542,2.72474,0.0336111
IPRPTCDI_19_12_2024_R1,Peak 3,0.373687,0.0490752,20.0241,0.177002
IPRPTCDI_19_12_2024_R1,Peak 4,0.394572,0.00362788,16.8926,0.0439209
IPRPTCDI_19_12_2024_R1,Peak 5,0.566431,0.0420138,13.2874,0.134766
IPRPTCDI_19_12_2024_R1,Peak 6,0.76623,0.0317556,3.72858,0.0753283
IPRPTCDI_19_12_2024_R1,Peak 7,0.91727,0.10998,0.87165,0.0663178
IPRPTCDI_19_12_2024_R2,Peak 0,0.0322533,0,4.31279,0.0197977
IPRPTCDI_19_12_2024_R2,Peak 1,0.123054,0.0107388,6.73941,0.0448434
IPRPTCDI_19_12_2024_R2,Peak 2,0.185269,0.00507762,28.3569,0.0674348
IPRPTCDI_19_12_2024_R2,Peak 3,0.379119,0.0521962,35.5705,0.267797
IPRPTCDI_19_12_2024_R2,Peak 4,0.393313,0.0023953,14.4964,0.0414936
IPRPTCDI_19_12_2024_R2,Peak 5,0.576289,0.0361398,8.18332,0.121054
IPRPTCDI_19_12_2024_R2,Peak 6,0.744219,0.0561283,5.85285,0.137314
IPRPTCDI_19_12_2024_R2,Peak 7,0.96164,0.368775,28.7916,0.580821
IPRPTCDI_19_12_2024_R4,Peak 0,0.042424,0.0013193,19.3123,0.0203208
IPRPTCDI_19_12_2024_R4,Peak 1,0.129958,0.0312823,87.9828,0.0914688
IPRPTCDI_19_12_2024_R4,Peak 2,0.188442,0.0087307,84.2714,0.0626789
IPRPTCDI_19_12_2024_R4,Peak 3,0.325217,0.0658076,41.3648,0.217739
IPRPTCDI_19_12_2024_R4,Peak 4,0.392511,0.0023932,44.3816,0.0495888
IPRPTCDI_19_12_2024_R4,Peak 5,0.565704,0.0244582,4.19598,0.0516617
IPRPTCDI_19_12_2024_R4,Peak 6,0.774564,0.0282528,6.53765,0.0776476
IPRPTCDI_19_12_2024_R6,Peak 0,0.0475337,0,11.5078,0.0223285
IPRPTCDI_19_12_2024_R6,Peak 1,0.120115,0.0418335,36.8716,0.0626648
IPRPTCDI_19_12_2024_R6,Peak 2,0.174008,0.0366238,51.6809,0.0564605
IPRPTCDI_19_12_2024_R6,Peak 3,0.208392,0.442892,42.9154,0.0790325
IPRPTCDI_19_12_2024_R6,Peak 4,0.376692,0.0391639,57.2637,0.171446
IPRPTCDI_19_12_2024_R6,Peak 5,0.39306,0.00414236,30.0633,0.0427491
IPRPTCDI_19_12_2024_R6,Peak 6,0.553444,0.0607506,15.7704,0.110754
IPRPTCDI_19_12_2024_R6,Peak 7,0.771302,0.043075,4.92876,0.0683861
IPRPTCDI_19_12_2024_R6,Peak 8,0.938832,0.202678,43.8323,0.527728